Time,Celer,Lightning,SpeedyMurmurs
0,413.5,2410,7277
1,571,714,3940
2,623,599,1524
3,1502,464,991
4,1021,418,823
5,1220.5,412,772
6,1530,367,787
7,1311,290,741
8,1339,317,652
9,2180.5,346,595
10,1316.5,296,600
11,1949.5,325,541
12,1697,327,477
13,1530.5,326,463
14,2070,297,501
15,2387,309,465
16,1847,324,492
17,2118,368,478
18,2238,356,465
19,1986.5,307,460
20,2442,277,455
21,2407,322,475
22,2245.5,282,462
23,2555.5,327,491
24,2370,349,434
25,2547,303,468
26,2455.5,284,475
27,2478,336,464
28,2549,352,510
29,2493,312,459
30,2587,314,455
31,2133,342,443
32,3077.5,341,469
33,2409.5,318,446
34,2844,293,465
35,2295.5,330,490
36,2983,318,455
37,2430.5,275,488
38,2887.5,297,470
39,2645.5,293,457
40,2854,347,451
41,2585,334,486
42,3002,336,433
43,2746,326,478
44,3232.5,299,456
45,2117.5,330,432
46,3069,312,438
47,2849,303,470
48,2981.5,305,434
49,2904,322,475
50,3077.5,310,487
51,3366.5,361,465
52,2600.5,325,465
53,2931,299,475
54,3332,321,474
55,2813,318,464
56,3474,317,455
57,3688.5,319,495
58,2962.5,308,468
59,2763.5,295,453
60,3196.5,328,504
61,3173,280,473
62,3652,321,444
63,3111.5,321,450
64,3207,331,477
65,3542,280,472
66,3249,290,454
67,3355.5,317,464
68,3048.5,308,470
69,3381,330,460
70,3469,314,477
71,3857.5,299,444
72,4073.5,321,459
73,3181,311,478
74,3991,298,457
75,3547,304,443
76,3752,307,456
77,3212,305,454
78,3502.5,347,473
79,3128.5,353,460
80,4501,319,444
81,3175,283,415
82,3930,307,480
83,3420.5,266,451
84,4364.5,314,460
85,3655,302,438
86,4460,326,484
87,3476,309,452
88,4442.5,316,470
89,3442.5,302,473
90,4481.5,339,493
91,3254.5,293,476
92,4071.5,314,457
93,3644.5,314,462
94,4407,338,481
95,3573.5,360,478
96,4060.5,326,479
97,3430,339,433
98,4092.5,324,470
99,4252,307,451
100,4241,315,475
101,3811,309,496
102,4560,301,466
103,3393,308,449
104,4905,322,464
105,4154,319,477
106,4269.5,319,466
107,3880.5,301,467
108,4705.5,343,459
109,4059,292,464
110,4649,314,446
111,4120,309,461
112,4602,315,498
113,4116.5,314,449
114,4703,276,465
115,4235.5,300,454
116,4341,303,461
117,3485.5,293,449
118,4356.5,305,474
119,3815.5,299,430
120,5116,310,504
121,4688.5,313,495
122,4312,325,452
123,3684,318,450
124,4438,329,461
125,4654.5,312,472
126,3819,291,470
127,4030,275,489
128,4252.5,284,447
129,4626,338,483
130,4656.5,294,493
131,4005.5,336,455
132,3681,312,459
133,3822,300,440
134,4667.5,305,482
135,4744,305,448
136,4298.5,313,464
137,4632,331,482
138,4648,329,450
139,4658.5,304,474
140,4883.5,310,473
141,4537,328,503
142,4850,340,473
143,4727.5,295,472
144,4788,316,494
145,4907.5,318,469
146,5086.5,306,466
147,4115.5,312,459
148,4968.5,318,476
149,4540,298,448
150,4773,290,478
151,4184,284,448
152,5282,307,476
153,4126,340,464
154,4937,327,456
155,4934.5,327,447
156,4841.5,288,468
157,4475.5,276,452
158,4807,312,463
159,4886.5,326,446
160,4308,322,459
161,4611.5,349,453
162,4910.5,286,410
163,4032.5,281,456
164,5333.5,341,484
165,4408,327,468
166,5472.5,346,465
167,4272,295,477
168,5551,305,469
169,4614,338,468
170,4774.5,295,479
171,4086.5,345,446
172,4757,325,482
173,4696.5,328,500
174,4950,343,448
175,4451.5,294,476
176,5320.5,319,470
177,4873,338,458
178,5094,323,490
179,4627,288,462
180,5018,286,463
181,5162.5,318,462
182,5175,360,441
183,4182.5,328,449
184,4511,310,466
185,4667,311,444
186,4974.5,314,460
187,4891,284,453
188,5167,350,482
189,4677.5,324,498
190,4831.5,291,466
191,4617,303,478
192,5314,286,463
193,5053.5,278,487
194,5012,326,502
195,4867,282,468
196,4755,307,457
197,5160.5,327,454
198,4974.5,298,458
199,5257.5,314,449
200,4818.5,312,521
201,4421,316,451
202,5213,320,453
203,5193,329,476
204,4619,338,460
205,4872,326,477
206,4568,337,481
207,5178.5,317,467
208,4812.5,281,476
209,5029,329,450
210,4931,315,454
211,5394.5,322,475
212,4909,316,436
213,4536.5,314,438
214,5417,317,491
215,5059.5,338,445
216,5390,317,467
217,5022.5,329,451
218,4578,301,462
219,4747,291,475
220,4751.5,333,455
221,5194,289,466
222,5098,310,487
223,5287,326,467
224,4585.5,312,476
225,4860,339,479
226,5183.5,330,509
227,5004,306,463
228,4903,318,452
229,5097,335,461
230,4925.5,302,487
231,5085.5,277,466
232,4575,295,473
233,5082,338,461
234,4805,337,451
235,5500.5,340,474
236,4643,345,468
237,5342,291,457
238,4665,319,438
239,5082,315,501
240,5398.5,328,456
241,4681,323,458
242,5091,346,451
243,5412,329,482
244,4718,308,462
245,5077,368,461
246,4931,332,435
247,5385,287,470
248,4939,310,440
249,5460,311,505
250,5234.5,293,472
251,5849.5,322,475
252,5087,304,462
253,5587.5,318,460
254,4890.5,337,447
255,5837,338,466
256,5067,343,481
257,5518,297,489
258,4526,297,442
259,5313.5,312,462
260,4614,320,448
261,5135,295,464
262,5149,306,515
263,5485.5,342,473
264,5332,319,478
265,5501,319,484
266,5196,302,456
267,5389.5,295,497
268,5064,320,460
269,5103,307,454
270,5771,339,474
271,5141.5,344,446
272,5059,316,476
273,4920,325,474
274,5172.5,335,451
275,5016.5,312,461
276,4894.5,296,466
277,4899,314,445
278,5673,294,417
279,4890.5,321,442
280,5039.5,319,488
281,5258,331,489
282,5375,321,464
283,5199.5,339,458
284,5251.5,323,468
285,5307.5,323,484
286,5236.5,333,466
287,5564.5,333,482
288,5417.5,340,485
289,4857,331,490
290,5439,303,462
291,4975,314,455
292,4894.5,334,492
293,4547,327,486
294,5306.5,299,460
295,4626.5,323,460
296,6227.5,287,484
297,5005,278,428
298,5613,310,474
299,4546,318,451
300,5802,305,495
301,5017.5,296,431
302,5559.5,321,471
303,4866.5,287,509
304,6011.5,320,450
305,4883,314,462
306,5146,292,472
307,5418,334,479
308,6122,309,493
309,4709.5,324,485
310,5741,328,456
311,5157,314,450
312,5363,329,503
313,5116.5,312,459
314,5274,330,486
315,5013.5,309,446
316,5341.5,330,485
317,5009,342,480
318,5265,322,439
319,5336,324,513
320,5774,306,481
321,5032.5,321,478
322,5723.5,331,450
323,5073,312,457
324,5895.5,318,447
325,5059.5,326,484
326,5101.5,330,481
327,4749,308,515
328,6119.5,313,460
329,4600,344,488
330,5730.5,307,489
331,5789.5,346,480
332,5698,326,460
333,5277.5,309,473
334,5908,296,472
335,5846.5,321,483
336,5645.5,320,449
337,5646.5,327,508
338,5570,299,454
339,5347,299,450
340,6333.5,291,472
341,5049.5,311,461
342,6062,302,475
343,5389.5,301,451
344,6046.5,322,493
345,5843,340,438
346,5946.5,336,435
347,5820,315,479
348,5579.5,334,447
349,5843,303,482
350,5624.5,309,476
351,5044.5,311,498
352,4818,297,436
353,5609.5,315,495
354,5084,266,492
355,5654.5,282,464
356,5125,321,458
357,5341,295,471
358,5440,290,451
359,5337,314,457
360,5322,322,452
361,5099.5,349,459
362,5789,274,482
363,4656.5,315,454
364,5397,309,471
365,5200,292,467
366,6367.5,343,485
367,5298,297,450
368,5519.5,323,499
369,5564,306,476
370,6344,317,495
371,6009,311,449
372,5582.5,319,457
373,5548,335,457
374,5124.5,318,443
375,6365,284,453
376,4836,299,478
377,6357.5,319,450
378,5622.5,300,452
379,5546.5,305,428
380,5139,335,465
381,5380,301,463
382,5597.5,327,451
383,5945.5,311,460
384,5403,295,492
385,5645.5,321,449
386,5658,284,453
387,5987,326,441
388,5848,306,429
389,5863.5,312,478
390,5839,325,492
391,5775,306,494
392,5613.5,322,450
393,6143,298,461
394,5811,319,492
395,6097,290,449
396,5790.5,307,490
397,5626.5,278,472
398,6330.5,329,459
399,5400,336,487
400,6172,271,446
401,5387,328,472
402,5557,329,460
403,5934,325,468
404,5375.5,300,465
405,5857,334,442
406,5096,307,444
407,5332.5,302,453
408,4994.5,313,436
409,4780.5,320,428
410,5819.5,318,458
411,4781.5,324,459
412,5271.5,304,455
413,5195.5,305,462
414,5844.5,320,432
415,5599.5,288,398
416,5881.5,341,451
417,5360.5,313,448
418,5794,323,476
419,5355,311,459
420,6013.5,291,472
421,5349.5,297,469
422,5990,348,478
423,5599.5,330,493
424,5844,288,492
425,5343.5,330,445
426,5985,337,486
427,5773.5,325,474
428,5734,310,449
429,5870,347,470
430,6300,342,522
431,5452.5,327,470
432,5372.5,294,442
433,5254,336,454
434,5790,300,443
435,5532,312,472
436,5567.5,315,448
437,5178,313,445
438,5953,316,486
439,5298.5,298,469
440,6254,318,464
441,5255,317,406
442,5942.5,317,482
443,5540.5,303,486
444,5884.5,336,467
445,5206.5,308,473
446,5389.5,320,459
447,5906.5,300,451
448,6461.5,312,444
449,5674,259,483
450,5974,321,477
451,5662,327,460
452,6168.5,308,446
453,6171.5,325,448
454,5074.5,332,466
455,5730.5,334,476
456,6126,346,446
457,6866.5,333,493
458,5359,305,474
459,6111.5,299,451
460,5893.5,352,456
461,6397,317,478
462,6332.5,332,457
463,5775,329,488
464,5786,333,485
465,5545.5,321,449
466,5653.5,314,509
467,5629,320,489
468,6202,328,469
469,5222.5,313,440
470,6517.5,334,451
471,5747.5,322,453
472,5943.5,308,435
473,6228.5,281,443
474,5599,349,464
475,6652.5,299,479
476,5660.5,321,477
477,6149.5,345,477
478,5988.5,327,469
479,6432,303,453
480,5937,288,436
481,6916.5,349,419
482,6241.5,310,431
483,5720,290,436
484,5310.5,268,481
485,6051.5,337,450
486,5512.5,333,476
487,6092,294,456
488,4922,303,469
489,6477,344,458
490,5414.5,321,446
491,6476,303,471
492,5676,301,489
493,6946.5,301,469
494,5839.5,284,445
495,6052,330,436
496,5397,314,480
497,7021.5,309,480
498,5553,331,517
499,6908,296,456
